フォルダ名,科目コード,科目名,対象学年,クラスコード,講義室,開講学期,曜日・時限,単位区分,単位数
工学部,C2169000,高分子材料物性,3年・4年,X1,１－５０１,前期,金Ⅳ,選択,2
工学部,C2172000,エネルギー材料化学,3年・4年,X1,Ｇ３３０３,後期,月Ⅱ,選択,2
工学部,C2174000,機能性セラミックス化学,3年・4年,X1,１２－２０１,後期,金Ⅰ,選択,2
工学部,C2175000,機能性高分子化学,3年・4年,X1,Ｃ１４１１,後期,月Ⅲ,選択,2
工学部,C2178000,地学概論,1年・2年・3年・4年,X1,Ｇ２４０８,前期,月Ⅰ,査外,2
工学部,C2179000,化学英語,3年・4年,X1,Ｇ２５０７,前期,火Ⅲ,選択,2
工学部,C2179000,化学英語,3年・4年,X2,Ｇ２５０７,前期,火Ⅱ,選択,2
工学部,C2183000,インターンシップ,1年・2年・3年・4年,X1,,後期,集中,選択,2
工学部,C2184000,微分積分１及び演習,1年,11,Ｇ２３１０,前期,火Ⅲ・火Ⅳ,選択,3
工学部,C2184000,微分積分１及び演習,1年・2年・3年・4年,21,Ｇ２４０８,前期,火Ⅲ・火Ⅳ,選択,3
工学部,C2184000,微分積分１及び演習,1年・2年・3年・4年,再履１,Ｇ２２０８,後期,水Ⅴ・水Ⅵ,選択,3
工学部,C2184000,微分積分１及び演習,1年・2年・3年・4年,再履２,Ｇ２２０８,後期,木Ⅴ・木Ⅵ,選択,3
工学部,C2185000,物理学（電磁気学）,2年・3年・4年,11,Ｇ３４０２,前期,月Ⅰ,選択,2
工学部,C2185000,物理学（電磁気学）,2年・3年・4年,21,Ｇ２２０８,前期,月Ⅰ,選択,2
工学部,C2186000,超分子化学概論,2年,X1,情教実習室Ｂ,前期,水Ⅲ,選択,2
工学部,C2186000,超分子化学概論,3年・4年,X2,Ｃ１４１１,前期,水Ⅰ,選択,2
工学部,C2188000,生物有機化学,2年・3年・4年,X1,１－３０３,後期,木Ⅰ,選択,2
工学部,C2189000,有機構造解析,3年・4年,X1,１－３０３,後期,木Ⅱ,選択,2
工学部,C2196000,応用物理化学,3年・4年,X1,Ｇ２５０６,前期,月Ⅲ,選択,2
工学部,C2197000,生産管理入門,3年・4年,X1,１－４０１,後期,月Ⅴ,選択,2
工学部,C2199000,知的財産権,4年,X1,Ｇ２３１０,前期,水Ⅳ,選択,2
工学部,C2200000,ＣＡＤ,4年,X1,セ－実習室１,後期,火Ⅲ,選択,2
工学部,C2201000,金属材料化学概論,3年・4年,X1,Ｃ１４１１,後期,水Ⅰ,選択,2
工学部,C2202000,生物学,1年・2年・3年・4年,X1,Ｇ１５１,前期,月Ⅳ,選択,2
工学部,C2203000,化学工学,3年・4年,X1,Ｇ２２１０,後期,火Ⅲ,選択,2
工学部,C2204000,基礎錯体化学,2年・3年,X1,Ｇ１５２,後期,水Ⅱ,選択,2
工学部,C2205000,高分子系複合材料化学,3年,X1,Ｇ２３１０,後期,木Ⅲ,選択,2
工学部,C2209000,ソフトウェア,1年・2年・3年・4年,X1,セ－実習室１,前期,水Ⅲ,選択,2
工学部,D0214000,キャリア意識形成,2年,X1,Ｇ３３０１,後期,月Ⅲ,選択,2
工学部,D0215000,現代社会と倫理,3年・4年,X1,１－３０３,後期,金Ⅳ,選択,2
工学部,D0217000,キャリアデザイン,3年・4年,11,Ｇ２４０９,前期,火Ⅳ,選択,2
工学部,D0217000,キャリアデザイン,3年・4年,21,Ｇ２５０５,前期,火Ⅳ,選択,2
工学部,D1001000,コンクリート工学１,2年・3年・4年,X1,Ｇ２１１０,前期,水Ⅰ,必修,2
工学部,D1024000,線形代数１,1年・2年・3年・4年,11,Ｇ２５０６,前期,水Ⅳ,必修,2
工学部,D1024000,線形代数１,1年・2年・3年・4年,21,Ｇ２５０５,前期,水Ⅳ,必修,2
工学部,D1025000,線形代数２,1年・2年・3年・4年,11,Ｇ２５０７,後期,水Ⅳ,必修,2
工学部,D1025000,線形代数２,1年・2年・3年・4年,21,Ｇ２５０６,後期,水Ⅳ,必修,2
工学部,D1033000,卒業研究,4年,X1,,通年,時間外,必修,4
工学部,D1039000,土質力学１,3年・4年,再履１,７－２０２,前期,金Ⅴ,必修,2
工学部,D1040000,土質力学２,3年・4年,再履１,７－２０５,後期,金Ⅴ,必修,2
工学部,D1053000,微分積分１及び演習,1年,11,Ｇ１５２,前期,火Ⅲ・火Ⅳ,必修,3
工学部,D1053000,微分積分１及び演習,1年・2年・3年・4年,21,Ｇ２５０６,前期,火Ⅲ・火Ⅳ,必修,3
工学部,D1053000,微分積分１及び演習,1年・2年・3年・4年,再履１,Ｇ２２０８,後期,水Ⅴ・水Ⅵ,必修,3
工学部,D1053000,微分積分１及び演習,1年・2年・3年・4年,再履２,Ｇ２２０８,後期,木Ⅴ・木Ⅵ,必修,3
工学部,D1059000,物理実験,2年・3年・4年,X1,10号６・７Ｆ,前期,金Ⅲ・金Ⅳ,必修,2
工学部,D1060000,防災工学,2年・3年・4年,X1,１－５０２,前期,木Ⅳ,必修,2
工学部,D1063000,物理学（力学）,1年,11,Ｇ２２０８,後期,火Ⅱ,必修,2
工学部,D1063000,物理学（力学）,1年・2年・3年・4年,21,Ｇ２４０８,後期,火Ⅱ,必修,2
工学部,D1063000,物理学（力学）,2年・3年・4年,再履１,Ｇ２２０９,前期,木Ⅴ,必修,2
工学部,D1063000,物理学（力学）,2年・3年・4年,再履２,Ｇ２２０８,前期,火Ⅴ,必修,2
工学部,D1063000,物理学（力学）,1年・2年・3年・4年,再履３,Ｇ２２０８,後期,火Ⅴ,必修,2
工学部,D1064000,物理学（波動）,2年・3年・4年,X1,１－５０１,前期,金Ⅰ,必修,2
工学部,D1064000,物理学（波動）,2年・3年・4年,再履１,Ｇ２２０９,後期,木Ⅴ,必修,2
工学部,D1066000,情報処理演習,3年・4年,X1,情教実習室Ｂ,前期,金Ⅲ・金Ⅳ,必修,2
工学部,D1071000,構造力学１及び演習,1年・2年・3年・4年,X1,Ｇ２１１０,後期,月Ⅰ・木Ⅰ,必修,3
工学部,D1071000,構造力学１及び演習,2年・3年・4年,再履１,７－２０５,前期,月Ⅴ・月Ⅵ,必修,3
工学部,D1072000,構造力学２及び演習,2年・3年・4年,X1,Ｇ２１１０,前期,火Ⅲ・金Ⅱ,必修,3
工学部,D1072000,構造力学２及び演習,2年・3年・4年,再履１,７－２０５,後期,火Ⅴ・火Ⅵ,必修,3
工学部,D1073000,構造力学３及び演習,2年・3年・4年,X1,Ｇ２１１０・Ｇ２２１０,後期,火Ⅰ・金Ⅰ,必修,3
工学部,D1073000,構造力学３及び演習,3年・4年,再履１,７－２０５,前期,水Ⅴ・水Ⅵ,必修,3
工学部,D1075000,土木計画学,2年・3年・4年,X1,Ｇ２１１０,前期,月Ⅳ,必修,2
工学部,D1075000,土木計画学,3年・4年,再履１,７－２０１,前期,水Ⅴ,必修,2
工学部,D1076000,セミナー人と技術,3年・4年,X1,１－３０３・１－５０１,通年,月Ⅲ・月Ⅳ・火Ⅲ,必修,1
工学部,D1079000,測量学,1年・2年・3年・4年,X1,Ｇ２１１０,前期,月Ⅰ,必修,2
工学部,D1080000,測量実習,1年・2年・3年・4年,X1,７－２０６,前期,月Ⅲ・月Ⅳ,必修,2
工学部,D1082000,鉄筋コンクリート構造１,3年・4年,再履１,Ｇ２１１０,前期,火Ⅱ,必修,2
工学部,D1083000,水理学１及び演習,1年・2年・3年・4年,X1,Ｇ２１１０・Ｇ２２１０,後期,水Ⅰ・金Ⅲ,必修,3
工学部,D1083000,水理学１及び演習,2年・3年・4年,再履１,７－２０５,前期,金Ⅴ・金Ⅵ,必修,3
工学部,D1084000,建設総合実習,1年・2年・3年・4年,X1,,通年,時間外,必修,1
工学部,D1084000,建設総合実習,2年・3年・4年,X2,,通年,時間外,,
工学部,D1085000,土質実験,3年・4年,X1,７－２０１・７－２０３,通年,水Ⅲ・水Ⅳ,必修,1
工学部,D1089000,設計製図,3年・4年,X1,７－２０１,後期,木Ⅲ・木Ⅳ,必修,2
工学部,D1090000,セミナー人と自然,2年・3年・4年,X1,Ｇ２２１０・１－４０１・７－２０２,通年,水Ⅰ・水Ⅱ・金Ⅳ,必修,1
工学部,D1091000,構造実験,3年・4年,X1,７－２０１・７－２０３,通年,水Ⅲ・水Ⅳ,必修,1
工学部,D1092000,水理実験,3年・4年,X1,７－２０５,通年,水Ⅲ・水Ⅳ,必修,1
工学部,D1093000,材料実験,3年・4年,X1,７－２０１・７－２０３,通年,水Ⅲ・水Ⅳ,必修,1
工学部,D1096000,材料力学,1年,X1,Ｇ２１１０,前期,木Ⅳ,必修,2
工学部,D1096000,材料力学,1年,再履１,７－２０６,後期,月Ⅴ,必修,2
工学部,D1096000,材料力学,2年・3年・4年,再履２,７－２０１,前期,火Ⅴ,必修,2
工学部,D1097000,土質力学１及び演習,1年・2年・3年・4年,X1,Ｇ２２１０,後期,木Ⅲ・木Ⅳ,必修,3
工学部,D1098000,水理学２及び演習,2年・3年,X1,Ｇ２１１０・Ｇ１５１,前期,火Ⅱ・火Ⅳ,必修,3
工学部,D1098000,水理学２及び演習,2年・3年,再履１,７－２０１,後期,水Ⅴ・水Ⅵ,必修,3
工学部,D1099000,土質力学２及び演習,2年・3年,X1,Ｇ２２１０,前期,木Ⅰ・木Ⅱ,必修,3
工学部,D1099000,土質力学２及び演習,2年・3年,再履１,７－２０３,後期,金Ⅴ・金Ⅵ,必修,3
工学部,D1100000,土質力学３及び演習,2年・3年,X1,１－５０２,後期,金Ⅱ・金Ⅲ,必修,3
工学部,D1101000,鉄筋コンクリート構造１及び演習,3年,X1,Ｇ２１１０,前期,火Ⅱ・金Ⅰ,必修,3
工学部,D1102000,生物学・生態学,1年・2年・3年・4年,X1,Ｇ２２１０,前期,水Ⅱ,必修,2
工学部,D1103000,環境実習,3年・4年,X1,７－２０１・７－２０３,通年,水Ⅲ・水Ⅳ,必修,1
工学部,D1104000,データサイエンス基礎数理,1年・2年,11,Ｇ３５０４,前期,木Ⅲ,必修,2
工学部,D1104000,データサイエンス基礎数理,1年・2年,21,Ｇ３３０２,前期,木Ⅲ,必修,2
工学部,D1105000,土木工学セミナー,1年・2年・3年・4年,X1,Ｇ２１１０・１－５０２・７－２０６,通年,月Ⅱ・火Ⅱ・金Ⅲ,必修,1
工学部,D1106000,建設基礎数学,1年・2年・3年・4年,X1,Ｇ２２１０,前期,水Ⅰ,必修,2
工学部,D1106000,建設基礎数学,1年・2年・3年・4年,再履１,７－２０１,後期,金Ⅴ,必修,2
工学部,D2001000,コンクリート工学２,2年・3年・4年,X1,７－２０３,後期,木Ⅰ,選択,2
工学部,D2010000,河川工学,3年・4年,X1,Ｇ２１１０,後期,木Ⅱ,選択,2
工学部,D2010000,河川工学,3年・4年,Z9,Ｇ２１１０,後期,木Ⅱ,選択,2
工学部,D2013000,確率・統計,2年・3年・4年,X1,Ｇ２５０５,後期,月Ⅳ,選択,2
工学部,D2022000,橋梁工学,3年,X1,７－２０６,後期,金Ⅲ,選択,2
工学部,D2022000,橋梁工学,4年,X2,７－２０６,後期,金Ⅲ,選択,2
工学部,D2025000,交通工学,2年・3年・4年,X1,７－２０１,後期,火Ⅲ,選択,2
工学部,D2053000,水文学,3年・4年,X1,Ｇ２１１０,前期,木Ⅱ,選択,2
工学部,D2053000,水文学,3年・4年,Z9,Ｇ２１１０,前期,木Ⅱ,選択,2
工学部,D2074000,地盤工学２,4年,X1,７－２０６,前期,木Ⅲ,選択,2
工学部,D2094000,都市計画,3年・4年,X1,７－２０１,前期,火Ⅲ,選択,2
工学部,D2094000,都市計画,3年・4年,Z9,７－２０１,前期,火Ⅲ,選択,2
工学部,D2111000,土木施工,3年・4年,X1,７－２０１,後期,月Ⅱ,選択,2
工学部,D2123000,微分方程式,2年・3年・4年,X1,Ｇ２４０８,後期,火Ⅳ,選択,2
工学部,D2134000,物理学（電磁気学）,2年・3年・4年,X1,１－５０２,後期,月Ⅱ,選択,2
工学部,D2135000,化学２,1年・2年・3年・4年,X1,Ｇ３５０４,後期,水Ⅱ,選択,2
工学部,D2136000,職業指導,4年,X1,Ｇ１５１,後期,木Ⅳ,選択,2
工学部,D2155000,上下水道,3年・4年,X1,７－２０５,後期,火Ⅳ,選択,2
工学部,D2156000,ランドスケープデザイン,2年・3年・4年,X1,Ｇ１５２,前期,月Ⅲ,選択,2
工学部,D2158000,地盤工学１,3年・4年,再履１,７－２０６,前期,木Ⅲ,選択,2
工学部,D2163000,インターンシップ,1年・2年・3年・4年,X1,,後期,集中,選択,2
工学部,D2164000,微分積分２及び演習,1年,11,Ｇ２２０８,後期,火Ⅲ・火Ⅳ,選択,3
工学部,D2164000,微分積分２及び演習,1年・2年・3年・4年,21,Ｇ２２０９,後期,火Ⅲ・火Ⅳ,選択,3
工学部,D2164000,微分積分２及び演習,2年・3年・4年,再履１,Ｇ２２０８,前期,木Ⅴ・木Ⅵ,選択,3
工学部,D2165000,化学１,1年・2年・3年・4年,X1,１－３０３,前期,火Ⅴ,選択,2
工学部,D2167000,応用測量学及び演習,1年・2年・3年・4年,X1,Ｇ２２１０,後期,月Ⅲ・月Ⅳ,選択,3
工学部,D2169000,鉄筋コンクリート構造１演習,3年・4年,再履１,Ｇ２１１０,前期,金Ⅰ,選択,1
工学部,D2170000,鉄筋コンクリート構造２,3年・4年,X1,７－２０３,後期,月Ⅰ,選択,2
工学部,D2171000,鋼構造学,3年,X1,７－２０５,前期,木Ⅳ,選択,2
工学部,D2171000,鋼構造学,4年,X2,７－２０５,前期,木Ⅳ,選択,2
工学部,D2173000,学外協働実習,1年・2年・3年・4年,X1,,前期,集中,選択,1
工学部,D2177000,情報数学,2年・3年・4年,X1,セ－実習室１,後期,木Ⅳ,選択,2
工学部,D2178000,防災実習,3年・4年,X1,７－２０１・７－２０３,通年,水Ⅲ・水Ⅳ,選択,1
工学部,D2179000,生態工学,2年・3年・4年,X1,７－２０６,後期,木Ⅱ,選択,2
工学部,D2180000,環境工学,2年・3年・4年,X1,７－２０６,後期,月Ⅱ,選択,2
工学部,D2181000,維持管理工学,3年,X1,７－２０５,後期,火Ⅱ,選択,2
工学部,D2181000,維持管理工学,4年,X2,７－２０５,後期,火Ⅱ,選択,2
工学部,D2182000,建設行政,3年・4年,X1,７－２０６,後期,木Ⅰ,選択,2
工学部,D2183000,エネルギー工学,3年,X1,７－２０５,後期,火Ⅰ,選択,2
工学部,D2183000,エネルギー工学,4年,X2,７－２０５,後期,火Ⅰ,選択,2
工学部,D2184000,工学基礎数理,2年・3年・4年,再履１,Ｇ２３１０,前期,火Ⅴ,選択,2
工学部,D2185000,環境アセスメント,2年・3年,X1,Ｇ２３１１,前期,火Ⅰ,選択,2
工学部,D2186000,防災地質学,2年・3年,X1,１－３０３,後期,火Ⅱ,選択,2
工学部,D2187000,地盤工学,3年,X1,７－２０６,前期,木Ⅲ,選択,2
工学部,D2188000,耐震工学,3年・4年,X1,７－２０５,前期,火Ⅰ,選択,2
工学部,D2189000,情報リテラシ,1年・2年・3年・4年,X1,Ｇ２２１０,前期,月Ⅱ,選択,2
工学部,E0103000,プログラミング１及び演習,2年・3年・4年,再履１,セ－実習室１,前期,水Ⅴ・水Ⅵ,必修,3
工学部,E0201000,技術者倫理,4年,X1,Ｇ２５０６,前期,月Ⅳ,選択,2
工学部,E0203000,キャリア意識形成,2年,13,１２－３０３,前期,木Ⅲ,選択,2
工学部,E0203000,キャリア意識形成,2年,21,１２－２０１,後期,木Ⅲ,選択,2
工学部,E0207000,キャリアデザイン,3年・4年,11,Ｇ２４０８,後期,月Ⅱ,選択,2
工学部,E0207000,キャリアデザイン,3年・4年,21,Ｇ２２０８,後期,月Ⅱ,選択,2
工学部,E1027000,線形代数１,1年・2年・3年・4年,11,Ｇ２５１,前期,木Ⅳ,必修,2
工学部,E1027000,線形代数１,1年・2年・3年・4年,21,１－３０３,前期,木Ⅳ,必修,2
工学部,E1028000,線形代数２,1年・2年・3年・4年,11,１－４０１,後期,木Ⅳ,必修,2
工学部,E1028000,線形代数２,1年・2年・3年・4年,21,Ｇ２２０９,後期,木Ⅳ,必修,2
工学部,E1031000,卒業研究,4年,X1,,通年,時間外,必修,4
工学部,E1037000,電気回路１及び演習,1年・2年・3年・4年,11,ＥＲ２２１,後期,月Ⅰ・月Ⅱ,必修,3
工学部,E1037000,電気回路１及び演習,1年・2年・3年・4年,21,１－５０１,後期,月Ⅰ・月Ⅱ,必修,3
工学部,E1037000,電気回路１及び演習,2年・3年・4年,再履１,８－２０５,前期,火Ⅳ・金Ⅴ,必修,3
工学部,E1040000,電気回路２及び演習,2年・3年・4年,11,Ｇ２２０８,前期,火Ⅰ・火Ⅱ,必修,3
工学部,E1040000,電気回路２及び演習,2年・3年・4年,21,Ｇ２３１０,前期,火Ⅰ・火Ⅱ,必修,3
工学部,E1066000,電気磁気学１及び演習,1年・2年・3年・4年,11,Ｇ２５１,後期,金Ⅲ・金Ⅳ,必修,3
工学部,E1066000,電気磁気学１及び演習,1年・2年・3年・4年,21,Ｇ２５２,後期,金Ⅲ・金Ⅳ,必修,3
工学部,E1070000,電気磁気学２及び演習,2年・3年・4年,11,Ｇ２５０５,前期,水Ⅰ・水Ⅱ,必修,3
工学部,E1070000,電気磁気学２及び演習,2年・3年・4年,21,Ｇ２５０６,前期,水Ⅰ・水Ⅱ,必修,3
工学部,E1090000,微分積分１及び演習,1年,11,Ｇ２２０９,前期,木Ⅰ・木Ⅱ,必修,3
工学部,E1090000,微分積分１及び演習,1年・2年・3年・4年,21,Ｇ２５０７,前期,木Ⅰ・木Ⅱ,必修,3
工学部,E1090000,微分積分１及び演習,1年・2年・3年・4年,再履１,Ｇ２２０８,後期,水Ⅴ・水Ⅵ,必修,3
工学部,E1090000,微分積分１及び演習,1年・2年・3年・4年,再履２,Ｇ２２０８,後期,木Ⅴ・木Ⅵ,必修,3
工学部,E1096000,物理実験,2年・3年・4年,X1,10号６・７Ｆ,前期,水Ⅲ・水Ⅳ,必修,2
工学部,E1098000,物理学（力学）,1年,11,Ｇ３２０３,後期,火Ⅲ,必修,2
工学部,E1098000,物理学（力学）,1年・2年・3年・4年,21,Ｇ３２０３,後期,火Ⅳ,必修,2
工学部,E1098000,物理学（力学）,2年・3年・4年,再履１,Ｇ２２０９,前期,木Ⅴ,必修,2
工学部,E1098000,物理学（力学）,2年・3年・4年,再履２,Ｇ２２０８,前期,火Ⅴ,必修,2
工学部,E1098000,物理学（力学）,1年・2年・3年・4年,再履３,Ｇ２２０８,後期,火Ⅴ,必修,2
工学部,E1100000,プログラミング１及び演習,1年・2年・3年・4年,11,セ－実習室１,前期,水Ⅰ・水Ⅱ,必修,3
工学部,E1100000,プログラミング１及び演習,1年・2年・3年・4年,21,情教実習室Ｂ,前期,水Ⅰ・水Ⅱ,必修,3
工学部,E1101000,プログラミング２及び演習,1年・2年・3年・4年,11,セ－実習室１,後期,水Ⅰ・水Ⅱ,必修,3
工学部,E1101000,プログラミング２及び演習,1年・2年・3年・4年,21,情教実習室Ｂ,後期,水Ⅰ・水Ⅱ,必修,3
工学部,E1101000,プログラミング２及び演習,2年・3年・4年,再履１,情教実習室Ａ,後期,水Ⅴ・水Ⅵ,必修,3
工学部,E1102000,アナログ回路１,2年・3年・4年,11,１－３０３,前期,月Ⅱ,必修,2
工学部,E1102000,アナログ回路１,2年・3年・4年,21,Ｇ２３１０,前期,月Ⅱ,必修,2
工学部,E1103000,ディジタル回路１,2年・3年・4年,11,Ｇ２５１,前期,火Ⅲ,必修,2
工学部,E1103000,ディジタル回路１,2年・3年・4年,21,Ｇ２５２,前期,火Ⅲ,必修,2
工学部,E1104000,電気工学実験１Ａ,3年・4年,X1,計測実験室,前期,木Ⅰ・木Ⅱ・木Ⅲ・木Ⅳ・金Ⅰ・金Ⅱ・金Ⅲ・金Ⅳ,必修,2
工学部,E1104000,電気工学実験１Ａ,3年・4年,再履１,計測実験室,後期,木Ⅵ・金Ⅵ,必修,2
工学部,E1105000,電気工学実験２Ａ,3年・4年,X1,機器実験室,前期,木Ⅰ・木Ⅱ・木Ⅲ・木Ⅳ・金Ⅰ・金Ⅱ・金Ⅲ・金Ⅳ,必修,2
工学部,E1105000,電気工学実験２Ａ,3年・4年,再履１,機器実験室,後期,木Ⅵ・金Ⅵ,必修,2
工学部,E1106000,電気工学実験３Ａ,3年・4年,X1,８－３０４,前期,木Ⅰ・木Ⅱ・木Ⅲ・木Ⅳ・金Ⅰ・金Ⅱ・金Ⅲ・金Ⅳ,必修,2
工学部,E1106000,電気工学実験３Ａ,3年・4年,再履１,８－３０４,後期,木Ⅵ・金Ⅵ,必修,2
工学部,E1107000,電気工学実験１Ｂ,3年・4年,X1,計測実験室,後期,木Ⅰ・木Ⅱ・木Ⅲ・木Ⅳ・金Ⅰ・金Ⅱ・金Ⅲ・金Ⅳ,必修,2
工学部,E1108000,電気工学実験２Ｂ,3年・4年,X1,機器実験室,後期,木Ⅰ・木Ⅱ・木Ⅲ・木Ⅳ・金Ⅰ・金Ⅱ・金Ⅲ・金Ⅳ,必修,2
工学部,E1109000,電気工学実験３Ｂ,3年・4年,X1,８－３０４・情教実習室Ｂ,後期,木Ⅰ・木Ⅱ・木Ⅲ・木Ⅳ・金Ⅰ・金Ⅱ・金Ⅲ・金Ⅳ,必修,2
工学部,E1110000,データサイエンス基礎数理,1年・2年,11,Ｇ２５０５,前期,火Ⅲ,必修,2
工学部,E1110000,データサイエンス基礎数理,1年・2年,21,１－４０１,前期,火Ⅲ,必修,2
工学部,E1111000,電気工学セミナー,1年・2年・3年・4年,X1,１２－ゼミ室,前期,月Ⅲ,必修,1
工学部,E2010000,パワーエレクトロニクス,3年・4年,X1,Ｇ２１１０,後期,水Ⅳ,選択,2
工学部,E2011000,フーリエ解析,2年・3年・4年,11,Ｇ２４０８,後期,金Ⅱ,選択,2
工学部,E2011000,フーリエ解析,2年・3年・4年,21,Ｇ２４０９,後期,金Ⅱ,選択,2
工学部,E2012000,メカトロニクス,3年・4年,X1,ＥＲ２２１,後期,火Ⅲ,選択,2
工学部,E2015000,化学,1年・2年・3年・4年,A1,Ｇ１５１,前期,金Ⅳ,選択,2
工学部,E2015000,化学,1年・2年・3年・4年,B1,Ｇ１５１,前期,金Ⅲ,選択,2
工学部,E2020000,確率・統計,2年・3年・4年,X1,１－４０１,前期,月Ⅲ,選択,2
工学部,E2035000,高電圧工学,3年・4年,X1,１－４０１,後期,月Ⅲ,選択,2
工学部,E2078000,電気回路３,2年・3年・4年,11,Ｇ２５２,後期,月Ⅲ,選択,2
工学部,E2078000,電気回路３,2年・3年・4年,21,Ｇ２５１,後期,月Ⅲ,選択,2
工学部,E2091000,電気機器設計・製図,4年,A1,ＥＲ２２１,前期,金Ⅰ・金Ⅱ,選択,2
工学部,E2091000,電気機器設計・製図,4年,B1,ＥＲ２２１,前期,金Ⅲ・金Ⅳ,選択,2
工学部,E2100000,電気磁気学３及び演習,2年・3年・4年,11,Ｇ２５０５,後期,水Ⅰ・水Ⅱ,選択,3
工学部,E2100000,電気磁気学３及び演習,2年・3年・4年,21,Ｇ２５０６,後期,水Ⅰ・水Ⅱ,選択,3
工学部,E2103000,電気法規,4年,X1,１－３０３,前期,月Ⅴ,選択,2
工学部,E2125000,電力システム工学,4年,X1,１２－２０１,前期,火Ⅲ,選択,2
工学部,E2135000,微分方程式,2年・3年・4年,11,Ｇ１５２,前期,金Ⅳ,選択,2
工学部,E2135000,微分方程式,2年・3年・4年,21,Ｇ２５１,前期,金Ⅲ,選択,2
工学部,E2147000,機械工学概論,3年・4年,X1,Ｇ２５２,後期,火Ⅱ,選択,2
工学部,E2148000,職業指導,4年,X1,Ｇ１５１,後期,木Ⅲ,選択,2
工学部,E2151000,インターンシップ,1年・2年・3年・4年,X1,,後期,集中,選択,2
工学部,E2152000,量子物理,2年・3年・4年,11,１－４０１,後期,火Ⅲ,選択,2
工学部,E2152000,量子物理,2年・3年・4年,21,１－４０１,後期,火Ⅳ,選択,2
工学部,E2154000,アナログ回路２,2年・3年・4年,A1,１２－３０３,後期,火Ⅱ,選択,2
工学部,E2154000,アナログ回路２,2年・3年・4年,B1,１２－２０２,後期,火Ⅰ,選択,2
工学部,E2155000,ディジタル回路２,2年・3年・4年,A1,１２－３０３,後期,火Ⅰ,選択,2
工学部,E2155000,ディジタル回路２,2年・3年・4年,B1,１２－２０２,後期,火Ⅱ,選択,2
工学部,E2158000,電子デバイス工学,3年・4年,A1,ＥＲ２２１,前期,月Ⅰ,選択,2
工学部,E2158000,電子デバイス工学,3年・4年,B1,ＥＲ２２１,前期,月Ⅱ,選択,2
工学部,E2159000,電気機器工学,3年・4年,A1,ＥＲ２２１,前期,火Ⅳ,選択,2
工学部,E2159000,電気機器工学,3年・4年,B1,ＥＲ３２２,前期,火Ⅲ,選択,2
工学部,E2159000,電気機器工学,3年・4年,Z9,ＥＲ２２１,前期,火Ⅳ,選択,2
工学部,E2160000,電気電子材料学１,2年・3年・4年,X1,Ｇ２２１０,後期,水Ⅲ,選択,2
工学部,E2161000,電気電子材料学２,3年・4年,X1,１－４０１,前期,水Ⅲ,選択,2
工学部,E2162000,電気エネルギー工学,2年・3年・4年,A1,ＥＲ３２２,後期,金Ⅲ,選択,2
工学部,E2162000,電気エネルギー工学,2年・3年・4年,B1,ＥＲ２２２,後期,金Ⅳ,選択,2
工学部,E2162000,電気エネルギー工学,2年・3年・4年,Z9,ＥＲ２２２,後期,金Ⅳ,選択,2
工学部,E2164000,電気電子応用工学,4年,X1,Ｇ２２０８,前期,水Ⅲ,選択,2
工学部,E2165000,制御工学,3年・4年,X1,１－４０１,前期,水Ⅳ,選択,2
工学部,E2167000,電機システム工学,4年,X1,Ｇ２２０８,前期,水Ⅰ,選択,2
工学部,E2171000,工学基礎数理,2年・3年・4年,再履１,Ｇ２３１０,前期,火Ⅴ,選択,2
工学部,E2172000,微分積分２及び演習,1年,11,Ｇ２５１,後期,木Ⅰ・木Ⅱ,選択,3
工学部,E2172000,微分積分２及び演習,1年・2年・3年・4年,21,Ｇ２２０８,後期,木Ⅰ・木Ⅱ,選択,3
工学部,E2172000,微分積分２及び演習,2年・3年・4年,再履１,Ｇ２２０８,前期,木Ⅴ・木Ⅵ,選択,3
工学部,E2173000,物理学（波動）,2年・3年・4年,11,Ｇ１５２,前期,金Ⅲ,選択,2
工学部,E2173000,物理学（波動）,2年・3年・4年,21,Ｇ２５１,前期,金Ⅳ,選択,2
工学部,E2174000,電気電子計測,2年・3年・4年,A1,ＥＲ３２２,後期,金Ⅳ,選択,2
工学部,E2174000,電気電子計測,2年・3年・4年,B1,ＥＲ２２２,後期,金Ⅲ,選択,2
工学部,E2175000,電気実用英語,3年・4年,X1,Ｇ２１１０,後期,水Ⅲ,選択,2
工学部,E2176000,電気技術英語,3年・4年,A1,ＥＲ２２１,前期,火Ⅲ,選択,2
工学部,E2176000,電気技術英語,3年・4年,B1,ＥＲ３２２,前期,火Ⅳ,選択,2
工学部,E2177000,電気電子工学基礎,1年・2年・3年・4年,11,Ｇ２５１,前期,月Ⅱ,選択,2
工学部,E2177000,電気電子工学基礎,1年・2年・3年・4年,21,Ｇ２５２,前期,月Ⅱ,選択,2
工学部,L0202000,技術者倫理,3年・4年,X1,１－３０３,後期,金Ⅲ,選択,2
工学部,L0203000,地球環境,3年・4年,X1,Ｇ１５２,後期,月Ⅱ,選択,2
工学部,L0204000,キャリア意識形成,2年,11,１－５０１,前期,木Ⅱ,選択,2
工学部,L0204000,キャリア意識形成,2年,21,Ｇ２５０６,前期,金Ⅱ,選択,2
工学部,L0209000,情報処理演習,3年・4年,X1,セ－実習室１,後期,金Ⅰ・金Ⅱ,選択,2
工学部,L0210000,キャリアデザイン,3年・4年,11,Ｇ２４０７,後期,火Ⅲ,選択,2
